id,author,title,year_published,volume,publisher,price,isbn
150,"Card, Orson Scott  (1951- )","Lovelock /  Orson S. Card, Kathryn Kerr ; przeł. [z ang.] Marek Cegieła.",,,"Warszawa :  Prószyński i S-ka,  1997  (Opole :  OZG).",,
151,"Resnick, Mike  (1942-2020)",Prorokini /  Mike Resnick ; przeł. [z ang.] Juliusz Wilczur-Garztecki.,,,"Warszawa :  Prószyński i S-ka,  1997  (Łódź :  Wojs.D).",,
152,"Le Guin, Ursula K.  (1929-2018)",Planeta wygnania /  Ursula K. Le Guin ; przeł. [z ang.] Juliusz P. Szeniawski.,,,"Warszawa :  Prószyński i S-ka,  1998  (Opole :  OZG).",,
153,"Card, Orson Scott  (1951- )",Badacze czasu :  odkupienie Krzysztofa Kolumba /  Orson S. Card ; przeł. [z ang.] Marcin Wawrzyńczak.,,,"Warszawa :  Prószyński i S-ka,  1997  (Opole :  OZG).",,
154,"Hobb, Robin  (1952- ).","Czarodziejski statek :  jesień, zima /  Robin Hobb ; przeł. [z ang.] Ewa Wojtczak.",1999,,"Warszawa :  Prószyński i S-ka,  1999.",,001	 	990817/000023
155,"Hobb, Robin  (1952- )",Czarodziejski statek :  środek lata /  Robin Hobb ; przeł. Ewa Wojtczak.,1999,,"Warszawa :  Prószyński i S-ka,  1999.",,
156,,Nebula '93 /  wyboru dokonała Pamela Sargent ; przeł. Paulina Braiter [et al.].,1998,,"Warszawa :  Prószyński i S-ka,  1998.",,
157,"Niven, Larry  (1938- )",Droga przeznaczenia /  Larry Niven ; przeł. Janusz Ochab.,1999,,"Warszawa :  Prószyński i S-ka,  1999.",,9788372552860
158,"Pratchett, Terry  (1948-2015)",Blask fantastyczny /  Terry Pratchett ; przeł. [z ang.] Piotr W. Cholewa.,,,"Warszawa :  ""Fantastyka"" :  Prószyński i S-ka,  1995  (Piła :  ZG).",,
159,"Pratchett, Terry  (1948-2015).",Czarodzicielstwo /  Terry Pratchett ; przeł. [z ang.] Piotr W. Cholewa.,1997,,"Warszawa :  Prószyński i S-ka,  1997.",,
160,"Pratchett, Terry  (1948-2015)",Trzy wiedźmy /  Terry Pratchett ; przeł. [z ang.] Piotr W. Cholewa.,,,"Warszawa :  Prószyński i S-ka,  1998  (Opole :  OZG).",,
161,"Pratchett, Terry  (1948-2015).  Autor",Równoumagicznienie /  Terry Pratchett ; przełożył Piotr W. Cholewa.,2012,,"Warszawa :  Prószyński Media,  2012.",,
162,"Le Guin, Ursula K.  (1929-2018)",Tehanu /  Ursula K. Le Guin ; przeł. [z ang.] Paulina Braiter.,,,"Warszawa :  Prószyński i S-ka,  1997  (Łódź :  Wojs.D).",,
163,"Le Guin, Ursula K.  (1929-2018)",Cztery drogi ku przebaczeniu /  Ursula K. Le Guin ; przeł. [z ang.] Paweł Lipszyc.,,,"Warszawa :  Prószyński i S-ka,  1997  (Łódź :  Wojs.D).",,
164,"Silverberg, Robert  (1935- )",Zamknięty świat /  Robert Silverberg ; przeł. [z ang.] Jacek Chełminiak.,,,"Warszawa :  Prószyński i S-ka,  1997  (Łódź :  ŁDD).",,
165,"Goldman, William  (1931-2018)",Narzeczona księcia :  klasyczna opowieść o prawdziwej miłości i wielkiej przygodzie pióra S. Morgensterna : najlepsze wyjątki /  w wyborze Williama Goldmana i przekładzie [z ang.] Pauliny Braiter.,,,"Warszawa :  ""Fantastyka"" : Prószyński i S-ka,  1995  (Piła :  ZG).",,
166,"Card, Orson Scott  (1951- )",Glizdawce /  Orson Scott Card ; przeł. [z ang.] Dorota Malinowska.,,,"Warszawa :  ""Fantastyka"" : Prószyński i S-ka,  1994  (Piła :  ZG).",,
167,,Nowe legendy /  wyboru dokonał Greg Bear przy współpr. Martina Greenberga ; przeł. [z ang.] Paulina Braiter [et al.].,,,"Warszawa :  ""Fantastyka"" :  Prószyński i S-ka,  1997  (Łódź :  Wojs.D).",,
168,"Card, Orson Scott  (1951- )",Alvin czeladnik /  Orson Scott Card ; przeł. Piotr Cholewa.,1999,,"Warszawa :  Prószyński i S-ka,  1999.",,9788371804076
169,"Strugacki, Arkadij  (1925-1991)","Trudno być Bogiem ;  Drugi najazd Marsjan /  Arkadij Strugacki, Borys Strugacki ; tł. [z ros.] Irena Piotrowska.",,,"Warszawa :  ""Czytelnik"",  1983  (Tor :  ZG).",,
170,"Forsyth, Frederick  (1938- )",Diabelska alternatywa /  Frederick Forsyth ; przeł. [z ang.] Witold Kalinowski.,,,"Poznań :  ""Amber"",  1990  (Lub. :  LZGPKWN).",,
171,"Strugacki, Arkadij  (1925-1991)","Miliard lat przed końcem świata :  rękopis odnaleziony w zagadkowych okolicznościach /  Arkadij Strugacki, Borys Strugacki ; przeł. z ros. Irena Lewandowska.",,,"Warszawa :  ""Iskry"",  1984  (Opole :  OZGJŁ).",,
172,"Ziemiański, Andrzej  (1960- )",Achaja.  T. 2 /  Andrzej Ziemiański ; [il. Dominik Broniek].,2003,,"Lublin :  ""Fabryka Słów"",  2003.",,
173,"Ziemiański, Andrzej  (1960- )",Achaja.  T. 3 /  Andrzej Ziemiański ; il. Dominik Broniek.,2004,,"Lublin :  ""Fabryka Słów"",  2004.",,
174,"Banks, Iain  (1954-2013)",Fabryka os /  Iain Banks ; przeł. [z ang.] Robert Sudół.,,,"Warszawa :  Prószyński i S-ka,  1997  (Łódź :  ŁDD).",,
175,"Banks, Iain  (1954-2013)",Most /  Iain Banks ; przeł. [z ang.] Marek Fedyszak.,,,"Warszawa :  Prószyński i S-ka,  1998  (Opole :  OZG).",,
176,"Banks, Iain  (1954-2013)",Stąpanie po szkle /  Iain Banks ; przeł. Magdalena Eichler ; oprac. Łucja Grudzińska.,1999,,"Warszawa :  Prószyński i S-ka,  1999.",,
177,"A. Strugacki
B. Strugacki",Koniec Akcji Arka,,,,,
178,Urszula K. LE Guin,Najdalszy Brzeg,,,,,
179,Urszyla K. Le GUIN,Grobowce Atuanu,,,,,
180,Urszula K. Le Guin,Tehanu,,,,,
